"Goal"," Target"," Indicator"," SeriesCode"," SeriesDescription"," GeoAreaCode"," GeoAreaName"," TimePeriod"," Value"," Time_Detail"," UpperBound"," LowerBound"," BasePeriod"," Source"," FootNote"," Units"," Nature","Country"," [Age]","[Cities]","[Disability status]","[Education level]","[Freq]","[Hazard type]","[IHR Capacity]","[Level/Status]","[Location]","[Migratory status]","[Mode of transportation]","[Name of international agreement]","[Name of international institution]","[Name of non-communicable disease]","[Policy Domains]","[Quantile]","[Reporting Type]","[Sex]","[Tariff regime (status)]","[Type of facilities]","[Type of mobile technology]","[Type of occupation]","[Type of product]","[Type of skill]","[Type of speed]"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","752","Sweden","2013","0.7","2013",,,,"World Development Indicators database, World Bank","Estimated from unit-record income data.","PERCENT","G","",,,,,,,,,,,,,,,,,"G",,,,,,,,
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","752","Sweden","2014","0.5","2014",,,,"World Development Indicators database, World Bank","Estimated from unit-record income data.","PERCENT","G","",,,,,,,,,,,,,,,,,"G",,,,,,,,
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","752","Sweden","2015","0.5","2015",,,,"World Development Indicators database, World Bank","Estimated from unit-record income data.","PERCENT","G","",,,,,,,,,,,,,,,,,"G",,,,,,,,
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","752","Sweden","2016","100.0",,,,,"ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","PERCENT","E","FEMALE",,,,,,,,,,,,,,,,,"G","FEMALE",,,,,,,
"1","1.3","1.3.1","SI_COV_POOR","[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)","752","Sweden","2016","100.0","2016",,,,"ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","PERCENT","E","BOTHSEX",,,,,,,,,,,,,,,,,"G","BOTHSEX",,,,,,,
"1","1.3","1.3.1","SI_COV_CHLD","[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)","752","Sweden","2016","100.0","2016",,,,"ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","PERCENT","E","BOTHSEX",,,,,,,,,,,,,,,,,"G","BOTHSEX",,,,,,,
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","752","Sweden","2005","86.2","2005",,,,"ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-135","ILO estimates based on country data","PERCENT","E","BOTHSEX",,,,,,,,,,,,,,,,,"G","BOTHSEX",,,,,,,
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","752","Sweden","2007","64.8","2007",,,,"ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-193","ILO estimates based on country data","PERCENT","E","BOTHSEX",,,,,,,,,,,,,,,,,"G","BOTHSEX",,,,,,,
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","752","Sweden","2009","39.2","2009",,,,"ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-244","ILO estimates based on country data","PERCENT","E","BOTHSEX",,,,,,,,,,,,,,,,,"G","BOTHSEX",,,,,,,
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","752","Sweden","2010","33.9","2010",,,,"ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-313","ILO estimates based on country data","PERCENT","E","BOTHSEX",,,,,,,,,,,,,,,,,"G","BOTHSEX",,,,,,,
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","752","Sweden","2011","28.4","2011",,,,"ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-378","ILO estimates based on country data","PERCENT","E","BOTHSEX",,,,,,,,,,,,,,,,,"G","BOTHSEX",,,,,,,
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","752","Sweden","2014","25.9","2014",,,,"ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","PERCENT","E","BOTHSEX",,,,,,,,,,,,,,,,,"G","BOTHSEX",,,,,,,
"1","1.3","1.3.1","SI_COV_VULN","[ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%)","752","Sweden","2016","100.0","2016",,,,"ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","PERCENT","E","BOTHSEX",,,,,,,,,,,,,,,,,"G","BOTHSEX",,,,,,,
"1","1.3","1.3.1","SI_COV_BENFTS","[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)","752","Sweden","2016","100.0","2016",,,,"ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data, refers to the population effectively covered by at least one social protection cash transfer","PERCENT","E","BOTHSEX",,,,,,,,,,,,,,,,,"G","BOTHSEX",,,,,,,
"1","1.3","1.3.1","SI_COV_DISAB","[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)","752","Sweden","2016","100.0","2016",,,,"ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","PERCENT","E","BOTHSEX",,,,,,,,,,,,,,,,,"G","BOTHSEX",,,,,,,
"1","1.3","1.3.1","SI_COV_PENSN","[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)","752","Sweden","2000","100.0","2000",,,,"ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-156","ILO estimates based on country data","PERCENT","E","BOTHSEX",,,,,,,,,,,,,,,,,"G","BOTHSEX",,,,,,,
"1","1.3","1.3.1","SI_COV_PENSN","[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)","752","Sweden","2013","100.0","2013",,,,"ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","PERCENT","E","BOTHSEX",,,,,,,,,,,,,,,,,"G","BOTHSEX",,,,,,,
"1","1.3","1.3.1","SI_COV_PENSN","[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)","752","Sweden","2013","100.0","2013",,,,"ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-54","ILO estimates based on country data","PERCENT","E","FEMALE",,,,,,,,,,,,,,,,,"G","FEMALE",,,,,,,
"1","1.3","1.3.1","SI_COV_PENSN","[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)","752","Sweden","2013","100.0","2013",,,,"ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-20","ILO estimates based on country data","PERCENT","E","MALE",,,,,,,,,,,,,,,,,"G","MALE",,,,,,,
"1","1.3","1.3.1","SI_COV_PENSN","[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)","752","Sweden","2014","100.0","2014",,,,"ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-54","ILO estimates based on country data","PERCENT","E","FEMALE",,,,,,,,,,,,,,,,,"G","FEMALE",,,,,,,
"1","1.3","1.3.1","SI_COV_PENSN","[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)","752","Sweden","2014","100.0","2014",,,,"ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","PERCENT","E","BOTHSEX",,,,,,,,,,,,,,,,,"G","BOTHSEX",,,,,,,
"1","1.3","1.3.1","SI_COV_PENSN","[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)","752","Sweden","2014","100.0","2014",,,,"ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-20","ILO estimates based on country data","PERCENT","E","MALE",,,,,,,,,,,,,,,,,"G","MALE",,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2000","100","2000",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","RURAL",,,,,,,,,"RURAL",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2000","100","2000",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","ALLAREA",,,,,,,,,"ALLAREA",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2000","100","2000",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","URBAN",,,,,,,,,"URBAN",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2001","100","2001",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","URBAN",,,,,,,,,"URBAN",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2001","100","2001",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","RURAL",,,,,,,,,"RURAL",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2001","100","2001",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","ALLAREA",,,,,,,,,"ALLAREA",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2002","100","2002",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","ALLAREA",,,,,,,,,"ALLAREA",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2002","100","2002",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","RURAL",,,,,,,,,"RURAL",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2002","100","2002",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","URBAN",,,,,,,,,"URBAN",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2003","100","2003",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","RURAL",,,,,,,,,"RURAL",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2003","100","2003",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","ALLAREA",,,,,,,,,"ALLAREA",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2003","100","2003",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","URBAN",,,,,,,,,"URBAN",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2004","100","2004",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","RURAL",,,,,,,,,"RURAL",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2004","100","2004",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","ALLAREA",,,,,,,,,"ALLAREA",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2004","100","2004",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","URBAN",,,,,,,,,"URBAN",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2005","100","2005",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","ALLAREA",,,,,,,,,"ALLAREA",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2005","100","2005",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","URBAN",,,,,,,,,"URBAN",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2005","100","2005",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","RURAL",,,,,,,,,"RURAL",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2006","100","2006",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","URBAN",,,,,,,,,"URBAN",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2006","100","2006",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","RURAL",,,,,,,,,"RURAL",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2006","100","2006",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","ALLAREA",,,,,,,,,"ALLAREA",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2007","100","2007",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","RURAL",,,,,,,,,"RURAL",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2007","100","2007",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","ALLAREA",,,,,,,,,"ALLAREA",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2007","100","2007",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","URBAN",,,,,,,,,"URBAN",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2008","100","2008",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","RURAL",,,,,,,,,"RURAL",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2008","100","2008",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","URBAN",,,,,,,,,"URBAN",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2008","100","2008",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","ALLAREA",,,,,,,,,"ALLAREA",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2009","100","2009",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","RURAL",,,,,,,,,"RURAL",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2009","100","2009",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","URBAN",,,,,,,,,"URBAN",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2009","100","2009",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","ALLAREA",,,,,,,,,"ALLAREA",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2010","100","2010",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","URBAN",,,,,,,,,"URBAN",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2010","100","2010",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","ALLAREA",,,,,,,,,"ALLAREA",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2010","100","2010",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","RURAL",,,,,,,,,"RURAL",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2011","100","2011",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","RURAL",,,,,,,,,"RURAL",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2011","100","2011",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","ALLAREA",,,,,,,,,"ALLAREA",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2011","100","2011",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","URBAN",,,,,,,,,"URBAN",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2012","100","2012",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","RURAL",,,,,,,,,"RURAL",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2012","100","2012",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","ALLAREA",,,,,,,,,"ALLAREA",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2012","100","2012",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","URBAN",,,,,,,,,"URBAN",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2013","100","2013",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","ALLAREA",,,,,,,,,"ALLAREA",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2013","100","2013",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","URBAN",,,,,,,,,"URBAN",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2013","100","2013",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","RURAL",,,,,,,,,"RURAL",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2014","100","2014",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","ALLAREA",,,,,,,,,"ALLAREA",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2014","100","2014",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","RURAL",,,,,,,,,"RURAL",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2014","100","2014",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","URBAN",,,,,,,,,"URBAN",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2015","100","2015",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","ALLAREA",,,,,,,,,"ALLAREA",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2015","100","2015",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","RURAL",,,,,,,,,"RURAL",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2015","100","2015",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","URBAN",,,,,,,,,"URBAN",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2016","100","2016",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","ALLAREA",,,,,,,,,"ALLAREA",,,,,,,,"G",,,,,,,,
"1","1.4","1.4.1","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services, by location (%)","752","Sweden","2016","100","2016",,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",,"PERCENT","E","URBAN",,,,,,,,,"URBAN",,,,,,,,"G",,,,,,,,
