area,year,sex,primary_net_enrolment_ratio
kigoma,2012,female,81.9
shinyanga,2012,female,88.2
kagera,2012,female,93.0
mwanza,2012,female,99.7
mara,2012,female,99.5
manyara,2012,female,82.2
dodoma,2012,male,84.1
arusha,2012,male,91.8
kilimanjaro,2012,male,84.7
tanga,2012,male,99.5
morogoro,2012,male,91.5
pwani,2012,male,94.8
dar_es_salaam,2012,male,88.7
lindi,2012,male,96.3
mtwara,2012,male,98.8
ruvuma,2012,male,99.8
iringa,2012,male,94.4
mbeya,2012,male,99.9
singida,2012,male,88.1
tabora,2012,male,88.3
rukwa,2012,male,85.2
kigoma,2012,male,80.9
shinyanga,2012,male,83.6
kagera,2012,male,92.4
mwanza,2012,male,99.8
mara,2012,male,99.8
manyara,2012,male,79.7
dodoma,2012,both_sexes,88.1
arusha,2012,both_sexes,91.2
kilimanjaro,2012,both_sexes,85.2
tanga,2012,both_sexes,99.5
morogoro,2012,both_sexes,93.4
pwani,2012,both_sexes,94.8
dar_es_salaam,2012,both_sexes,87.1
lindi,2012,both_sexes,97.5
mtwara,2012,both_sexes,98.9
ruvuma,2012,both_sexes,99.7
iringa,2012,both_sexes,95.6
mbeya,2012,both_sexes,99.8
singida,2012,both_sexes,89.6
tabora,2012,both_sexes,87.8
rukwa,2012,both_sexes,84.9
kigoma,2012,both_sexes,81.4
shinyanga,2012,both_sexes,85.9
kagera,2012,both_sexes,92.7
mwanza,2012,both_sexes,99.7
mara,2012,both_sexes,99.6
manyara,2012,both_sexes,80.9
mainland,2013,female,90.3
mainland,2013,male,89.1
mainland,2013,both_sexes,89.7
dodoma,2013,female,87.9
arusha,2013,female,91.9
kilimanjaro,2013,female,89.5
tanga,2013,female,98.9
morogoro,2013,female,89.3
pwani,2013,female,99.8
dar_es_salaam,2013,female,72.4
lindi,2013,female,98.1
mtwara,2013,female,98.8
ruvuma,2013,female,94.7
iringa,2013,female,99.7
mbeya,2013,female,95.6
singida,2013,female,91.5
tabora,2013,female,83.9
rukwa,2013,female,90.3
kigoma,2013,female,72.9
shinyanga,2013,female,95.0
kagera,2013,female,85.1
mwanza,2013,female,99.0
mara,2013,female,99.5
manyara,2013,female,81.4
njombe,2013,female,99.2
katavi,2013,female,73.1
simiyu,2013,female,94.7
geita,2013,female,99.6
dodoma,2013,male,81.4
arusha,2013,male,93.7
kilimanjaro,2013,male,90.9
tanga,2013,male,99.7
morogoro,2013,male,86.1
pwani,2013,male,99.4
dar_es_salaam,2013,male,74.6
lindi,2013,male,93.6
mtwara,2013,male,96.9
ruvuma,2013,male,96.3
iringa,2013,male,99.8
mbeya,2013,male,94.5
singida,2013,male,86.2
tabora,2013,male,82.1
rukwa,2013,male,91.8
kigoma,2013,male,72.8
shinyanga,2013,male,90.9
kagera,2013,male,82.4
mwanza,2013,male,98.3
mara,2013,male,99.7
manyara,2013,male,78.3
njombe,2013,male,99.2
katavi,2013,male,73.4
simiyu,2013,male,87.6
geita,2013,male,99.4
dodoma,2013,both_sexes,84.6
arusha,2013,both_sexes,92.8
kilimanjaro,2013,both_sexes,90.2
tanga,2013,both_sexes,99.3
morogoro,2013,both_sexes,87.7
pwani,2013,both_sexes,99.6
dar_es_salaam,2013,both_sexes,73.5
lindi,2013,both_sexes,95.8
mtwara,2013,both_sexes,97.9
ruvuma,2013,both_sexes,95.5
iringa,2013,both_sexes,99.7
mbeya,2013,both_sexes,95.1
singida,2013,both_sexes,88.8
tabora,2013,both_sexes,83.0
rukwa,2013,both_sexes,91.1
kigoma,2013,both_sexes,72.9
shinyanga,2013,both_sexes,92.9
kagera,2013,both_sexes,83.8
mwanza,2013,both_sexes,98.6
mara,2013,both_sexes,99.6
manyara,2013,both_sexes,79.8
njombe,2013,both_sexes,99.2
katavi,2013,both_sexes,73.2
simiyu,2013,both_sexes,91.1
geita,2013,both_sexes,99.5
mainland,2014,female,80.4
mainland,2014,male,88.3
mainland,2014,both_sexes,84.0
dodoma,2014,female,88.9
arusha,2014,female,90.3
kilimanjaro,2014,female,71.3
tanga,2014,female,72.2
morogoro,2014,female,73.8
pwani,2014,female,91.4
dar_es_salaam,2014,female,73.6
lindi,2014,female,84.9
mtwara,2014,female,84.8
ruvuma,2014,female,75.2
iringa,2014,female,100.0
mbeya,2014,female,78.7
singida,2014,female,72.5
tabora,2014,female,68.1
rukwa,2014,female,72.4
kigoma,2014,female,71.1
shinyanga,2014,female,75.4
kagera,2014,female,79.6
mwanza,2014,female,89.7
mara,2014,female,96.0
manyara,2014,female,66.5
njombe,2014,female,75.2
katavi,2014,female,72.7
simiyu,2014,female,77.7
geita,2014,female,100.0
dodoma,2014,male,80.6
arusha,2014,male,91.9
kilimanjaro,2014,male,84.3
tanga,2014,male,84.1
morogoro,2014,male,85.1
pwani,2014,male,105.0
dar_es_salaam,2014,male,74.9
lindi,2014,male,97.4
mtwara,2014,male,96.4
ruvuma,2014,male,92.1
iringa,2014,male,100.0
mbeya,2014,male,95.0
singida,2014,male,80.7
tabora,2014,male,81.5
rukwa,2014,male,87.3
kigoma,2014,male,71.2
shinyanga,2014,male,85.9
kagera,2014,male,77.3
mwanza,2014,male,105
mara,2014,male,100.0
manyara,2014,male,75.4
njombe,2014,male,86.1
katavi,2014,male,73.5
simiyu,2014,male,87.3
geita,2014,male,100.0
dodoma,2014,both_sexes,85.0
arusha,2014,both_sexes,91.0
kilimanjaro,2014,both_sexes,78.0
tanga,2014,both_sexes,78.0
morogoro,2014,both_sexes,79.0
pwani,2014,both_sexes,98.0
dar_es_salaam,2014,both_sexes,74.2
lindi,2014,both_sexes,91.0
mtwara,2014,both_sexes,91.0
ruvuma,2014,both_sexes,83.0
iringa,2014,both_sexes,100.0
mbeya,2014,both_sexes,87.0
singida,2014,both_sexes,77.0
tabora,2014,both_sexes,75.0
rukwa,2014,both_sexes,80.0
kigoma,2014,both_sexes,71.0
shinyanga,2014,both_sexes,81.0
kagera,2014,both_sexes,79.0
mwanza,2014,both_sexes,97.0
mara,2014,both_sexes,98.0
manyara,2014,both_sexes,71.0
njombe,2014,both_sexes,81.0
katavi,2014,both_sexes,73.0
simiyu,2014,both_sexes,83.0
geita,2014,both_sexes,100.0
mainland,2016,female,86.4
mainland,2016,male,84.7
mainland,2016,both_sexes,85.6
dodoma,2016,female,84.0
arusha,2016,female,78.8
kilimanjaro,2016,female,76.6
tanga,2016,female,91.1
morogoro,2016,female,88.1
pwani,2016,female,99.7
dar_es_salaam,2016,female,76.0
lindi,2016,female,93.8
mtwara,2016,female,97.7
ruvuma,2016,female,88.2
iringa,2016,female,95.4
kagera,2016,female,76.8
mbeya,2016,female,90.1
singida,2016,female,87.1
tabora,2016,female,76.7
rukwa,2016,female,85.3
shinyanga,2016,female,89.9
katavi,2016,female,80.1
mwanza,2016,female,99.7
mara,2016,female,99.7
manyara,2016,female,76.3
njombe,2016,female,100.2
kigoma,2016,female,71.9
simiyu,2016,female,90.7
geita,2016,female,99.9
songwe,2016,female,84.5
dodoma,2016,male,74.5
arusha,2016,male,79.5
kilimanjaro,2016,male,78.4
tanga,2016,male,89.2
morogoro,2016,male,85.4
pwani,2016,male,99.8
dar_es_salaam,2016,male,77.3
lindi,2016,male,89.7
mtwara,2016,male,93.3
ruvuma,2016,male,89.9
iringa,2016,male,92.4
kagera,2016,male,75.5
mbeya,2016,male,88.3
singida,2016,male,80.1
tabora,2016,male,75.5
rukwa,2016,male,83.6
shinyanga,2016,male,85.5
katavi,2016,male,80.3
mwanza,2016,male,98.8
mara,2016,male,99.8
manyara,2016,male,72.9
njombe,2016,male,98.0
kigoma,2016,male,73.1
simiyu,2016,male,84.6
geita,2016,male,99.9
songwe,2016,male,83.0
dodoma,2016,both_sexes,79.2
arusha,2016,both_sexes,79.2
kilimanjaro,2016,both_sexes,77.5
tanga,2016,both_sexes,90.1
morogoro,2016,both_sexes,86.7
pwani,2016,both_sexes,99.8
dar_es_salaam,2016,both_sexes,76.6
lindi,2016,both_sexes,91.7
mtwara,2016,both_sexes,95.5
ruvuma,2016,both_sexes,89.0
iringa,2016,both_sexes,93.9
kagera,2016,both_sexes,76.1
mbeya,2016,both_sexes,89.2
singida,2016,both_sexes,83.5
tabora,2016,both_sexes,76.1
rukwa,2016,both_sexes,84.5
shinyanga,2016,both_sexes,87.7
katavi,2016,both_sexes,80.2
mwanza,2016,both_sexes,99.2
mara,2016,both_sexes,99.7
manyara,2016,both_sexes,74.5
njombe,2016,both_sexes,99.1
kigoma,2016,both_sexes,72.5
simiyu,2016,both_sexes,87.6
geita,2016,both_sexes,99.9
songwe,2016,both_sexes,83.8
