"goal","target","indicator","description","tier_proposed","tier_revised","tier_proposed_coded","tier_revised_coded"
"_16","_16_6","_16_6_1","Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)","Tier II","Tier I","2","1"
"_16","_16_6","_16_6_2","Proportion of the population satisfied with their last experience of public services","-","Tier III","blank","3"
"_16","_16_7","_16_7_1","Proportions of positions (by sex, age, persons with disabilities and population groups) in public institutions (national and local legislatures, public service, and judiciary) compared to national distributions","-","Tier III","blank","3"
"_16","_16_7","_16_7_2","Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group","-","Tier III","blank","3"
"_16","_16_8","_16_8_1","Proportion of members and voting rights of developing countries in international organizations","-","Tier I","blank","1"
"_16","_16_9","_16_9_1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","Tier I","Tier I","1","1"
"_16","_16_10","_16_10_1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","Tier II","Tier III","2","3"
"_16","_16_10","_16_10_2","Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","Tier II","Tier II","2","2"
"_16","_16_a","_16_a_1","Existence of independent national human rights institutions in compliance with the Paris Principles","Tier I","Tier I","1","1"
"_16","_16_b","_16_b_1","Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law","-","Tier III","blank","3"
"_17","_17_1","_17_1_1","Total government revenue as a proportion of GDP, by source","-","Tier I","blank","1"
"_17","_17_1","_17_1_2","Proportion of domestic budget funded by domestic taxes","-","Tier I","blank","1"
"_17","_17_2","_17_2_1","Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors' gross national income (GNI)","Tier I","Tier I","1","1"
"_17","_17_3","_17_3_1","Foreign direct investments (FDI), official development assistance and South- South Cooperation as a proportion of total domestic budget","Tier I","Tier I","1","1"
"_17","_17_3","_17_3_2","Volume of remittances (in United States dollars) as a proportion of total GDP","Tier I","Tier I","1","1"
"_17","_17_4","_17_4_1","Debt service as a proportion of exports of goods and services","Tier I","Tier I","1","1"
"_17","_17_5","_17_5_1","Number of countries that adopt and implement investment promotion regimes for least developed countries","-","-","blank","blank"
"_17","_17_6","_17_6_1","Number of science and/or technology cooperation agreements and programmes between countries, by type of cooperation","-","-","blank","blank"
"_17","_17_6","_17_6_2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","Tier I","Tier I","1","1"
"_17","_17_7","_17_7_1","Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies","-","Tier III","blank","3"
"_17","_17_8","_17_8_1","Proportion of individuals using the Internet","Tier I","Tier I","1","1"
"_17","_17_9","_17_9_1","Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to developing countries","Tier I","Tier I","1","1"
"_17","_17_10","_17_10_1","Worldwide weighted tariff- average","Tier I","Tier I","1","1"
"_17","_17_11","_17_11_1","Developing countries' and least developed countries' share of global exports","Tier I","Tier I","1","1"
"_17","_17_12","_17_12_1","Average tariffs faced by developing countries, least developed countries and small island developing States","Tier I","Tier I","1","1"
"_17","_17_13","_17_13_1","Macroeconomic Dashboard","-","-","blank","blank"
"_17","_17_14","_17_14_1","Number of countries with mechanisms in place to enhance policy coherence of sustainable development","Tier III","Tier III","3","3"
"_17","_17_15","_17_15_1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","Tier I","Tier II","1","2"
"_17","_17_16","_17_16_1","Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals","Tier I","Tier II","1","2"
"_17","_17_17","_17_17_1","Amount of United States dollars committed to public-private and civil society partnerships","-","Tier III","blank","3"
"_17","_17_18","_17_18_1","Proportion of sustainable development indicators produced at the national level with full disaggregation when relevant to the target, in accordance with the Fundamental Principles of Official Statistics","Tier II","Tier III","2","3"
"_17","_17_18","_17_18_2","Number of countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics","-","Tier III","blank","3"
"_17","_17_18","_17_18_3","Number of countries with a national statistical plan that is fully funded and under implementation, by source of funding","Tier II","Tier I","2","1"
"_17","_17_19","_17_19_1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","Tier I","Tier I","1","1"
"_17","_17_19","_17_19_2","Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration","Tier I","Tier I","1","1"
