concept,concept_type,name,sdg_indicator,local_color,local_comment
_3_1_1,measure,_3_1_1,_3_1_1,Grön,Socialstyrelsen
_3_1_2,measure,_3_1_2,_3_1_2,Grön,Socialstyrelsen
_3_2_1,measure,_3_2_1,_3_2_1,Grön,Socialstyrelsen
_3_2_2,measure,_3_2_2,_3_2_2,Grön,Socialstyrelsen
_3_3_1,measure,_3_3_1,_3_3_1,Grön,Folkhälsomyndigheten
_3_3_2,measure,_3_3_2,_3_3_2,Grön,Folkhälsomyndigheten
_3_3_3,measure,_3_3_3,_3_3_3,Grön,Folkhälsomyndigheten
_3_3_4,measure,_3_3_4,_3_3_4,Grön,Folkhälsomyndigheten
_3_3_5,measure,_3_3_5,_3_3_5,Grön,Folkhälsomyndigheten
_3_4_1,measure,_3_4_1,_3_4_1,Grön,Socialstyrelsen
_3_4_1,measure,_3_4_1,_3_4_1,Grön,Folkhälsomyndigheten
_3_4_2,measure,_3_4_2,_3_4_2,Grön,Socialstyrelsen
_3_4_2,measure,_3_4_2,_3_4_2,Grön,Folkhälsomyndigheten
_3_4_2,measure,_3_4_2,_3_4_2,Grön,Folkhälsomyndigheten
_3_5_1,measure,_3_5_1,_3_5_1,Röd,Socialstyrelsen
_3_5_2,measure,_3_5_2,_3_5_2,Grön,Folkhälsomyndigheten
_3_6_1,measure,_3_6_1,_3_6_1,Grön,Trafikanalys
_3_6_1,measure,_3_6_1,_3_6_1,Grön,Trafikanalys
_3_7_1,measure,_3_7_1,_3_7_1,Röd,Folkhälsomyndigheten
_3_7_2,measure,_3_7_2,_3_7_2,Grön,Socialstyrelsen
_3_8_1,measure,_3_8_1,_3_8_1,Vit,Socialstyrelsen
_3_8_2,measure,_3_8_2,_3_8_2,Röd,SCB
_3_9_1,measure,_3_9_1,_3_9_1,Orange,Naturvårdsverket
_3_9_1,measure,_3_9_1,_3_9_1,Grön,Folkhälsomyndigheten
_3_9_2,measure,_3_9_2,_3_9_2,Orange,Folkhälsomyndigheten
_3_9_3,measure,_3_9_3,_3_9_3,Grön,Socialstyrelsen
_3_a_1,measure,_3_a_1,_3_a_1,Grön,Folkhälsomyndigheten
_3_b_1,measure,_3_b_1,_3_b_1,Orange,Folkhälsomyndigheten
_3_b_2,measure,_3_b_2,_3_b_2,Grön,Sida
_3_b_3,measure,_3_b_3,_3_b_3,Vit,Socialstyrelsen
_3_c_1,measure,_3_c_1,_3_c_1,Grön,Socialstyrelsen
_3_d_1,measure,_3_d_1,_3_d_1,Grön,Folkhälsomyndigheten
_3_d_1,measure,_3_d_1,_3_d_1,Röd,Folkhälsomyndigheten
_3_d_1,measure,_3_d_1,_3_d_1,Röd,Folkhälsomyndigheten
_4_1_1,measure,_4_1_1,_4_1_1,Grön,Skolverket
_4_1_1,measure,_4_1_1,_4_1_1,Grön,SCB
_4_2_1,measure,_4_2_1,_4_2_1,Röd,Folkhälsomyndigheten
_4_2_2,measure,_4_2_2,_4_2_2,Grön,SCB
_4_3_1,measure,_4_3_1,_4_3_1,Grön,SCB
_4_3_1,measure,_4_3_1,_4_3_1,Grön,UKÄ
_4_4_1,measure,_4_4_1,_4_4_1,Grön,SCB
_4_4_1,measure,_4_4_1,_4_4_1,Orange,Skolverket
_4_4_1,measure,_4_4_1,_4_4_1,Grön,SCB
_4_5_1,measure,_4_5_1,_4_5_1,Orange,SCB
_4_6_1,measure,_4_6_1,_4_6_1,Grön,SCB
_4_7_1,measure,_4_7_1,_4_7_1,Orange,
_4_7_1,measure,_4_7_1,_4_7_1,Orange,Skolverket
_4_a_1,measure,_4_a_1,_4_a_1,Orange,Skolverket
_4_a_1,measure,_4_a_1,_4_a_1,Orange,Skolverket
_4_b_1,measure,_4_b_1,_4_b_1,Grön,Sida
_4_c_1,measure,_4_c_1,_4_c_1,Grön,Skolverket
_5_1_1,measure,_5_1_1,_5_1_1,Grön,Socialdepartementet
_5_2_1,measure,_5_2_1,_5_2_1,Orange,Brå
_5_2_2,measure,_5_2_2,_5_2_2,Orange,Brå
_5_2_2,measure,_5_2_2,_5_2_2,Grön,Brå
_5_3_1,measure,_5_3_1,_5_3_1,Orange,n
_5_3_2,measure,_5_3_2,_5_3_2,Orange,Socialstyrelsen
_5_4_1,measure,_5_4_1,_5_4_1,Grön,SCB
_5_5_1,measure,_5_5_1,_5_5_1,Grön,SCB
_5_5_2,measure,_5_5_2,_5_5_2,Grön,SCB
_5_6_1,measure,_5_6_1,_5_6_1,Orange,Folkhälsomyndigheten
_5_6_2,measure,_5_6_2,_5_6_2,Grön,Socialdepartementet
_5_a_1,measure,_5_a_1,_5_a_1,Vit,Jordbruksverket
_5_a_1,measure,_5_a_1,_5_a_1,Grön,SCB
_5_a_2,measure,_5_a_2,_5_a_2,Vit,Justitiedepartementet
_5_b_1,measure,_5_b_1,_5_b_1,Orange,PTS
_5_c_1,measure,_5_c_1,_5_c_1,Grön,Finansdepartementet
_6_1_1,measure,_6_1_1,_6_1_1,Grön,SCB
_6_1_1,measure,_6_1_1,_6_1_1,Orange,HaV
_6_1_1,measure,_6_1_1,_6_1_1,Orange,HaV
_6_2_1,measure,_6_2_1,_6_2_1,Grön,SCB
_6_3_1,measure,_6_3_1,_6_3_1,Grön,Naturvårdsverket
_6_3_1,measure,_6_3_1,_6_3_1,Orange,Naturvårdsverket
_6_3_2,measure,_6_3_2,_6_3_2,Grön,HaV
_6_4_1,measure,_6_4_1,_6_4_1,Orange,SCB
_6_4_2,measure,_6_4_2,_6_4_2,Grön,SCB
_6_5_1,measure,_6_5_1,_6_5_1,Grön,HaV
_6_5_2,measure,_6_5_2,_6_5_2,Grön,HaV
_6_6_1,measure,_6_6_1,_6_6_1,Röd,HaV
_6_6_1,measure,_6_6_1,_6_6_1,Orange,HaV
_6_6_1,measure,_6_6_1,_6_6_1,Orange,HaV
_6_a_1,measure,_6_a_1,_6_a_1,Grön,Sida
_6_a_1,measure,_6_a_1,_6_a_1,Grön,Sida
_6_b_1,measure,_6_b_1,_6_b_1,Vit,HaV
_7_1_1,measure,_7_1_1,_7_1_1,Vit,Energimyndigheten
_7_1_2,measure,_7_1_2,_7_1_2,Vit,Energimyndigheten
_7_2_1,measure,_7_2_1,_7_2_1,Grön,Energimyndigheten
_7_3_1,measure,_7_3_1,_7_3_1,Grön,Energimyndigheten
_7_a_1,measure,_7_a_1,_7_a_1,Röd,Sida
_7_a_1,measure,_7_a_1,_7_a_1,Grön,Sida
_7_b_1,measure,_7_b_1,_7_b_1,Röd,Energimyndigheten
_8_1_1,measure,_8_1_1,_8_1_1,Grön,SCB
_8_2_1,measure,_8_2_1,_8_2_1,Grön,SCB
_8_3_1,measure,_8_3_1,_8_3_1,Röd,SCB
_8_3_1,measure,_8_3_1,_8_3_1,Grön,SCB
_8_4_1,measure,_8_4_1,_8_4_1,Grön,SCB
_8_4_2,measure,_8_4_2,_8_4_2,Grön,SCB
_8_5_1,measure,_8_5_1,_8_5_1,Orange,Medlingsinstitutet
_8_5_2,measure,_8_5_2,_8_5_2,Grön,SCB
_8_6_1,measure,_8_6_1,_8_6_1,Grön,SCB
_8_7_1,measure,_8_7_1,_8_7_1,Vit,SCB
_8_8_1,measure,_8_8_1,_8_8_1,Orange,Arbetsmiljöverket
_8_8_2,measure,_8_8_2,_8_8_2,Orange,Arbetsmarknadsdep
_8_9_1,measure,_8_9_1,_8_9_1,Grön,Tillväxtverket
_8_9_2,measure,_8_9_2,_8_9_2,Röd,Tillväxtverket
_8_10_1,measure,_8_10_1,_8_10_1,Grön,Riksbanken
_8_10_2,measure,_8_10_2,_8_10_2,Grön,Riksbanken
_8_a_1,measure,_8_a_1,_8_a_1,Grön,Sida
_8_b_1,measure,_8_b_1,_8_b_1,Röd,Arbetsmarknadsdep
_9_1_1,measure,_9_1_1,_9_1_1,Röd,Trafikanalys
_9_1_1,measure,_9_1_1,_9_1_1,Orange,SCB
_9_1_2,measure,_9_1_2,_9_1_2,Grön,Trafikanalys
_9_2_1,measure,_9_2_1,_9_2_1,Grön,SCB
_9_2_2,measure,_9_2_2,_9_2_2,Grön,SCB
_9_3_1,measure,_9_3_1,_9_3_1,Orange,SCB
_9_3_2,measure,_9_3_2,_9_3_2,Orange,SCB
_9_4_1,measure,_9_4_1,_9_4_1,Grön,SCB
_9_4_1,measure,_9_4_1,_9_4_1,Grön,SCB
_9_4_1,measure,_9_4_1,_9_4_1,Grön,SCB
_9_5_1,measure,_9_5_1,_9_5_1,Grön,SCB
_9_5_2,measure,_9_5_2,_9_5_2,Grön,SCB
_9_a_1,measure,_9_a_1,_9_a_1,Grön,Sida
_9_b_1,measure,_9_b_1,_9_b_1,Grön,SCB
_9_c_1,measure,_9_c_1,_9_c_1,Grön,PTS
_10_1_1,measure,_10_1_1,_10_1_1,Grön,SCB
_10_2_1,measure,_10_2_1,_10_2_1,Grön,SCB
_10_2_1,measure,_10_2_1,_10_2_1,Grön,SCB
_10_3_1,measure,_10_3_1,_10_3_1,Röd,Folkhälsomyndigheten
_10_3_1,measure,_10_3_1,_10_3_1,Grön,Folkhälsomyndigheten
_10_4_1,measure,_10_4_1,_10_4_1,Grön,SCB
_10_5_1,measure,_10_5_1,_10_5_1,Grön,Finansinspektionen
_10_6_1,measure,_10_6_1,_10_6_1,Inte aktuellt för SE,UD
_10_7_1,measure,_10_7_1,_10_7_1,Röd,SCB
_10_7_2,measure,_10_7_2,_10_7_2,Röd,Justitiedepartementet
_10_a_1,measure,_10_a_1,_10_a_1,Röd,SCB
_10_b_1,measure,_10_b_1,_10_b_1,Orange,Sida
_10_c_1,measure,_10_c_1,_10_c_1,Röd,SCB
_10_c_1,measure,_10_c_1,_10_c_1,Grön,Konsumentverket
_11_1_1,measure,_11_1_1,_11_1_1,Röd,SCB
_11_1_1,measure,_11_1_1,_11_1_1,Grön,SCB
_11_2_1,measure,_11_2_1,_11_2_1,Orange,Trafikanalys
_11_2_1,measure,_11_2_1,_11_2_1,Orange,Boverket
_11_3_1,measure,_11_3_1,_11_3_1,Orange,SCB
_11_3_2,measure,_11_3_2,_11_3_2,Orange,Boverket
_11_4_1,measure,_11_4_1,_11_4_1,Röd,Naturvårdsverket
_11_5_2,measure,_11_5_2,_11_5_2,Orange,MSB
_11_6_1,measure,_11_6_1,_11_6_1,Orange,Naturvårdsverket
_11_6_1,measure,_11_6_1,_11_6_1,Grön,Naturvårdsverket
_11_6_1,measure,_11_6_1,_11_6_1,Grön,Naturvårdsverket
_11_6_1,measure,_11_6_1,_11_6_1,Grön,Naturvårdsverket
_11_6_2,measure,_11_6_2,_11_6_2,Grön,Naturvårdsverket
_11_7_1,measure,_11_7_1,_11_7_1,Röd,SCB
_11_7_1,measure,_11_7_1,_11_7_1,Grön,SCB
_11_7_2,measure,_11_7_2,_11_7_2,Orange,Brå
_11_7_2,measure,_11_7_2,_11_7_2,Grön,SCB
_11_a_1,measure,_11_a_1,_11_a_1,Grön,Boverket
_11_a_1,measure,_11_a_1,_11_a_1,Grön,Boverket
_11_c_1,measure,_11_c_1,_11_c_1,Röd,Sida
_12_1_1,measure,_12_1_1,_12_1_1,Grön,Miljö- och Energidep
_12_1_1,measure,_12_1_1,_12_1_1,Grön,SCB
_12_3_1,measure,_12_3_1,_12_3_1,Röd,Jordbruksverket
_12_3_1,measure,_12_3_1,_12_3_1,Grön,Naturvårdsverket
_12_4_1,measure,_12_4_1,_12_4_1,Grön,Miljö- och Energidep
_12_4_1,measure,_12_4_1,_12_4_1,Grön,Kemikalieinspektionen
_12_4_2,measure,_12_4_2,_12_4_2,Grön,Naturvårdsverket
_12_5_1,measure,_12_5_1,_12_5_1,Grön,Naturvårdsverket
_12_6_1,measure,_12_6_1,_12_6_1,Orange,Naturvårdsverket
_12_7_1,measure,_12_7_1,_12_7_1,Röd,Miljö- och Energidep
_12_7_1,measure,_12_7_1,_12_7_1,Orange,SCB
_12_8_1,measure,_12_8_1,_12_8_1,Orange,
_12_a_1,measure,_12_a_1,_12_a_1,Röd,Sida
_12_b_1,measure,_12_b_1,_12_b_1,Röd,Näringsdepartementet
_12_b_1,measure,_12_b_1,_12_b_1,Orange,Tillväxtverket
_12_c_1,measure,_12_c_1,_12_c_1,Orange,SCB
_13_2_1,measure,_13_2_1,_13_2_1,Röd,Miljö- och Energidep
_13_2_1,measure,_13_2_1,_13_2_1,Grön,Naturvårdsverket
_13_2_1,measure,_13_2_1,_13_2_1,Orange,SCB
_13_2_1,measure,_13_2_1,_13_2_1,Grön,Naturvårdsverket
_13_3_1,measure,_13_3_1,_13_3_1,Röd,"Utbildningsdepartemente
t"
_13_3_2,measure,_13_3_2,_13_3_2,Röd,Naturvårdsverket
_13_a_1,measure,_13_a_1,_13_a_1,Röd,Sida
_13_a_1,measure,_13_a_1,_13_a_1,Orange,Sida
_13_b_1,measure,_13_b_1,_13_b_1,Inte aktuellt för SE,Sida
_14_1_1,measure,_14_1_1,_14_1_1,Röd,Hav
_14_2_1,measure,_14_2_1,_14_2_1,Röd,HaV
_14_3_1,measure,_14_3_1,_14_3_1,Orange,HaV
_14_4_1,measure,_14_4_1,_14_4_1,Orange,HaV
_14_5_1,measure,_14_5_1,_14_5_1,Grön,SCB
_14_6_1,measure,_14_6_1,_14_6_1,Röd,Näringsdepartementet
_14_7_1,measure,_14_7_1,_14_7_1,Röd,HaV
_14_7_1,measure,_14_7_1,_14_7_1,Orange,HaV
_14_a_1,measure,_14_a_1,_14_a_1,Orange,HaV
_14_b_1,measure,_14_b_1,_14_b_1,Röd,HaV
_14_c_1,measure,_14_c_1,_14_c_1,Grön,Miljö- och Energidep
_15_1_1,measure,_15_1_1,_15_1_1,Grön,Skogsstyrelsen
_15_1_2,measure,_15_1_2,_15_1_2,Grön,Naturvårdsverket
_15_2_1,measure,_15_2_1,_15_2_1,Grön,Skogsstyrelsen
_15_2_1,measure,_15_2_1,_15_2_1,Orange,Naturvårdsverket
_15_3_1,measure,_15_3_1,_15_3_1,Röd,Naturvårdsverket
_15_4_1,measure,_15_4_1,_15_4_1,Grön,Naturvårdsverket
_15_4_2,measure,_15_4_2,_15_4_2,Grön,Naturvårdsverket
_15_5_1,measure,_15_5_1,_15_5_1,Grön,Naturvårdsverket
_15_6_1,measure,_15_6_1,_15_6_1,Grön,Naturvårdsverket
_15_7_1,measure,_15_7_1,_15_7_1,Röd,Naturvårdsverket
_15_8_1,measure,_15_8_1,_15_8_1,Röd,Naturvårdsverket
_15_9_1,measure,_15_9_1,_15_9_1,Grön,Naturvårdsverket
_15_a_1,measure,_15_a_1,_15_a_1,Orange,Sida
_16_1_1,measure,_16_1_1,_16_1_1,Grön,Brå
_16_1_2,measure,_16_1_2,_16_1_2,Vit,UD
_16_1_3,measure,_16_1_3,_16_1_3,Orange,Brå
_16_1_4,measure,_16_1_4,_16_1_4,Orange,Brå
_16_1_4,measure,_16_1_4,_16_1_4,Grön,SCB
_16_2_1,measure,_16_2_1,_16_2_1,Röd,SCB
_16_2_1,measure,_16_2_1,_16_2_1,Orange,SCB
_16_2_2,measure,_16_2_2,_16_2_2,Röd,Brå
_16_2_2,measure,_16_2_2,_16_2_2,Grön,Brå
_16_2_3,measure,_16_2_3,_16_2_3,Röd,Folkhälsomyndigheten
_16_3_1,measure,_16_3_1,_16_3_1,Orange,Brå
_16_3_1,measure,_16_3_1,_16_3_1,Grön,Brå
_16_3_2,measure,_16_3_2,_16_3_2,Grön,Kriminalvården
_16_4_1,measure,_16_4_1,_16_4_1,Röd,SCB
_16_4_2,measure,_16_4_2,_16_4_2,Röd,Polisen
_16_5_1,measure,_16_5_1,_16_5_1,Orange,SCB
_16_5_2,measure,_16_5_2,_16_5_2,Grön,SCB
_16_6_1,measure,_16_6_1,_16_6_1,Orange,ESV
_16_6_2,measure,_16_6_2,_16_6_2,Röd,SCB
_16_6_2,measure,_16_6_2,_16_6_2,Orange,SCB
_16_7_1,measure,_16_7_1,_16_7_1,Röd,SCB
_16_7_1,measure,_16_7_1,_16_7_1,Orange,SCB
_16_7_2,measure,_16_7_2,_16_7_2,Röd,SCB
_16_7_2,measure,_16_7_2,_16_7_2,Grön,SCB
_16_7_2,measure,_16_7_2,_16_7_2,Grön,SCB
_16_9_1,measure,_16_9_1,_16_9_1,Grön,SCB
_16_10_1,measure,_16_10_1,_16_10_1,Vit,Justitiedepartementet
_16_10_1,measure,_16_10_1,_16_10_1,Röd,Brå
_16_10_2,measure,_16_10_2,_16_10_2,Grön,Justitiedepartementet
_16_a_1,measure,_16_a_1,_16_a_1,Grön,Justitiedepartementet
_17_1_1,measure,_17_1_1,_17_1_1,Grön,SCB
_17_1_2,measure,_17_1_2,_17_1_2,Grön,SCB
_17_2_1,measure,_17_2_1,_17_2_1,Grön,Sida
_17_3_1,measure,_17_3_1,_17_3_1,Inte aktuellt för SE,Sida
_17_3_2,measure,_17_3_2,_17_3_2,Grön,Riksbanken
_17_4_1,measure,_17_4_1,_17_4_1,Röd,Riksbanken
_17_5_1,measure,_17_5_1,_17_5_1,Röd,UD
_17_6_1,measure,_17_6_1,_17_6_1,Röd,UD
_17_6_2,measure,_17_6_2,_17_6_2,Grön,PTS
_17_7_1,measure,_17_7_1,_17_7_1,Orange,Sida
_17_8_1,measure,_17_8_1,_17_8_1,Grön,SCB
_17_9_1,measure,_17_9_1,_17_9_1,Grön,Sida
_17_10_1,measure,_17_10_1,_17_10_1,Vit,SCB
_17_11_1,measure,_17_11_1,_17_11_1,Inte aktuellt för SE,
_17_12_1,measure,_17_12_1,_17_12_1,Inte aktuellt för SE,
_17_13_1,measure,_17_13_1,_17_13_1,Röd,SCB
_17_14_1,measure,_17_14_1,_17_14_1,Grön,UD
_17_15_1,measure,_17_15_1,_17_15_1,Orange,Sida
_17_16_1,measure,_17_16_1,_17_16_1,Orange,Sida
_17_17_1,measure,_17_17_1,_17_17_1,Röd,SCB
_17_18_1,measure,_17_18_1,_17_18_1,Röd,SCB
_17_18_2,measure,_17_18_2,_17_18_2,Grön,SCB
_17_18_3,measure,_17_18_3,_17_18_3,Grön,SCB
_17_19_1,measure,_17_19_1,_17_19_1,Grön,Sida
_17_19_1,measure,_17_19_1,_17_19_1,Grön,Sida
_17_19_2,measure,_17_19_2,_17_19_2,Grön,SCB
